review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R3N0XV9267NOXV,5,41,47,Y,
RSA6JQ346JZHZ,5,55,64,Y,
R1FXF4HRMCLG4C,5,69,84,Y,
RCTBWC3II42MG,4,113,117,Y,
RTMQM2CQ1XIZ0,5,21,25,Y,
R2CBJLCKQ612KU,4,27,35,Y,
R322QDGO4AV2B5,5,55,65,Y,
R2S7CXRDGQ6EE,4,36,39,Y,
R3ECMXK0SGR1VV,5,59,64,Y,
R3D55CPJ6J6Z78,4,15,20,Y,
R1Y9OYIUCP3WD2,4,20,20,Y,
RT8AV0IB2PGHH,4,108,132,Y,
R2RLHJRJD9B0NX,3,44,47,Y,
RAPD7IX0LPZ10,4,36,37,Y,
R37QPCBNR07PPR,1,22,27,Y,
R3BRFPK8N59XPY,5,364,395,Y,
R1WE59I775L7L9,4,31,33,Y,
RO8IGQJV1PKCJ,5,78,84,Y,
RWZDJT9MQP6A4,5,86,97,Y,
R2VDXEVKFSJU36,5,20,22,Y,
R2WA8H2MISWIZU,5,20,20,Y,
R1RY08C982SZNK,1,30,34,Y,
R3HG2Q4O6BJUX6,4,28,36,Y,
R20F1RTIQQ9FLZ,3,21,24,Y,
RNMHWQWGLI9D7,5,130,138,Y,
R43HJRUI10CD9,4,27,28,Y,
R273GX5BTW2DTP,4,36,39,Y,
R3K15WNTJPBUZP,4,23,23,Y,
R3788NU4SARGJY,5,35,40,Y,
R3VSA3TKBE5X59,5,101,106,Y,
R2UIGSE41R7XCU,5,42,48,Y,
RXU58PE69MVZL,5,93,98,Y,
R2KJ3JFL6CZVXC,4,29,30,Y,
R3IO8MCA903UD,5,17,22,Y,
R2T27D9B6VZL4J,5,37,38,Y,
R3HEGOILPBBK4,5,67,74,Y,
R2AS613FN23WKF,4,28,29,Y,
R20BO7QSE7IA9T,4,26,28,Y,
R32ZX6968R5KHJ,5,27,27,Y,
RWYADWGFZIZY6,5,18,23,Y,
R2ZF8UPU7EL2WE,4,28,30,Y,
R1OHU08VC35IFU,3,54,61,Y,
RUFH30P31NNNM,2,16,21,Y,
R15YCOJRBQ6GBM,3,28,36,Y,
R3E00FGBWNYTRC,2,13,20,Y,
R3VPWS9YL50VP6,5,147,154,Y,
R2OFK69CET2PB5,5,16,21,Y,
R11DSQA8797YOC,4,22,27,Y,
RRZO7UGMUV2UV,4,25,32,Y,
R32UBMUO58RZ0C,3,25,30,Y,
R2JBD4E6OAYUW5,5,34,37,Y,
R116M5FPCRFBV8,4,137,148,Y,
R23ODGIDYLBTKM,5,143,146,Y,
RNKGF0Y3DP3SW,3,143,174,Y,
R8N0JG05TF4RK,5,35,38,Y,
R2AC5OYFG65GP,5,33,34,Y,
R2ID1FPA2KTT95,5,28,33,Y,
R2MYPPOSPX59GU,3,28,29,Y,
R3BI0G48ULNF6T,4,31,32,Y,
R2NIX3DG2CX997,5,26,28,Y,
R35GRCJ3GZ523J,5,62,70,Y,
R1WYIZKWKI7VZL,5,36,42,Y,
R1Q1XCWE9C00DF,5,33,38,Y,
R399JCLQ0696JO,3,80,84,Y,
R2CL3BN2TJ28PX,5,24,29,Y,
R23EQ5CK25RNE2,5,350,384,Y,
R5GY59R7WCNKW,5,147,165,Y,
R39FDQXUM52HFZ,5,31,35,Y,
RGOI2312WQTTX,5,42,43,Y,
R370J87II1IB95,4,19,21,Y,
R16WUDKL5GIFV7,5,24,25,Y,
R1CVLR0D0W8SCV,5,25,29,Y,
R11WYWJTJU0LTW,4,25,26,Y,
R1XIPC32M9T9NQ,4,54,54,Y,
R1UZFKD2U25ZSF,5,47,50,Y,
RZBRYBHZIB3F8,4,22,23,Y,
R2XXLRHWVSZBFZ,4,69,70,Y,
R22YHS665YEXF7,4,14,20,Y,
RZ13PILVN047X,5,43,47,Y,
RSQELT8SJLXA8,5,24,25,Y,
R2OYHB64KGULH6,4,20,27,Y,
R127T7SKZO25I2,5,23,24,Y,
R12XEZ1Z0MW7MQ,5,165,175,Y,
R13X48W43X3UB0,5,18,21,Y,
R3N59E7H8YPWQQ,3,44,49,Y,
RVNS1MACKUFVO,4,27,31,Y,
R9KBQ3C2A4ZJ5,5,18,20,Y,
R2KJ0DW1LRP8UN,5,36,44,Y,
R2H5N4NN29JMZK,4,41,43,Y,
R24YKX677VEJXC,2,42,45,Y,
RACEKDGYBL63F,4,21,21,Y,
R5FI8TAK2RH20,5,224,231,Y,
R2DWVJ3WNDT8DS,5,31,32,Y,
R3SUA9QYCJIDCP,4,14,20,Y,
R9RKAP1FO0P0Y,4,28,30,Y,
R16G0MK6ABWLFA,2,39,47,Y,
R18EYIJ95PFNK8,5,23,23,Y,
R9I8O18K2OVPX,1,18,20,Y,
R2C0HYEZL8M56L,2,60,67,Y,
R1AWVW1FZ2ITNA,3,20,20,Y,
R3P7DFDGM8PW9O,5,297,312,Y,
R15BXK64PDGFIN,3,19,23,Y,
R17PAWE0CFTMIU,5,66,76,Y,
R1T1AL5CQL5WT2,5,35,37,Y,
R105AWBJ85QF3G,3,24,27,Y,
RZA2415JYRSA8,1,22,28,Y,
R26291UIW0G3JA,4,55,58,Y,
R1SEZII9XBK5B9,4,19,24,Y,
R33J0BUU8BG7M6,4,88,95,Y,
RCRX1GT0NQ7WV,3,30,34,Y,
R36TNGRBW5AQRB,5,45,49,Y,
R311E9QRFB3E0U,3,33,39,Y,
R1WYRF8JW5F10Z,5,33,35,Y,
R1P13P7LGF31PZ,4,16,22,Y,
R2KMQMIN4MK2Y8,5,97,115,Y,
R3VW9SEM9JXVEG,3,29,34,Y,
R1CU4B23B7HID8,5,19,21,Y,
RSCWHC5ZA27OF,5,20,23,Y,
R1VXX08IF7S3WM,5,68,76,Y,
R1038HIHP60BGQ,3,32,34,Y,
R1BHL99GUHML19,3,24,27,Y,
R11MJQWGQP3M5Z,4,18,21,Y,
R1JGU7H7IWRC03,4,20,26,Y,
R2VGXH735EZHA0,5,21,22,Y,
R1O50IC8UX8H5V,5,25,31,Y,
R1RSNPS01ON16X,2,47,56,Y,
RYVF19PUVR93M,5,105,127,Y,
R37QL5XUSKTYLF,4,164,165,Y,
R2TI5M9Y1RKV0W,5,25,33,Y,
R1KVGQ4WN1PBX5,3,17,20,Y,
R1ZJHH56YVRN4L,5,35,43,Y,
R1M2D1J0GKWFDH,4,40,43,Y,
R1DFG52OK10YVA,3,20,22,Y,
RXID4RX4F7VPC,5,192,222,Y,
R2K1Z8U5KCWV6T,4,63,70,Y,
R34O68MM8ZC2R9,3,15,20,Y,
R11HBI77MIAO44,4,28,32,Y,
R3F273NZR80ON2,4,19,22,Y,
R3OGJJUR028VUE,5,47,51,Y,
R3K9OQCQXPM4WY,3,41,48,Y,
R1IWUFTOVTHF7J,5,469,486,Y,
R152M57LTGUNIL,5,23,23,Y,
R22QQ92A1928K0,5,30,45,Y,
R3E2YPAHGRZOSY,5,29,31,Y,
R3LZRUFGCSJV2B,3,22,26,Y,
R192Y4JOOB2CDZ,3,54,59,Y,
R170CSI4BLYZ3Q,5,15,21,Y,
R3CTDYOOT80F33,5,113,123,Y,
R2ZC5HMUO3P0VN,4,120,127,Y,
R1IX4FKUDSA3JW,5,100,108,Y,
R1VIRG69V1C728,5,24,32,Y,
RNGV94J9ILLXD,3,16,25,Y,
R2WFI8D61RV5DQ,5,45,54,Y,
R10AEL3WQO55BF,3,74,83,Y,
RC078SQX4PZFJ,4,35,38,Y,
R3493P2F37TR6Q,5,126,138,Y,
R13RA2Y6CEAQN9,3,23,34,Y,
R24KE3ZEKQGDOV,4,50,58,Y,
R17DI4EJN493AU,3,18,22,Y,
R1MO879UBSWU9T,5,19,22,Y,
RL0D72CBF4EC,3,29,39,Y,
R3OT92Z791VWCZ,5,24,31,Y,
R2IR44QLDR2G9A,5,30,32,Y,
R1B3YJ54AV105L,5,26,32,Y,
R1PJIV9DCRLA0A,5,17,24,Y,
R2AZRMI01V2KB8,5,18,21,Y,
R39M1PIYAV8TAC,3,103,121,Y,
R1VIATNNWUVCZF,5,52,58,Y,
R3CLKLO00NO08B,5,37,43,Y,
R2C4K4SO2R8G31,5,44,53,Y,
R1DSGTGECTO7MU,4,19,20,Y,
R1WD3DJH1EWGL8,3,22,29,Y,
R1S2ES1PYNOTPV,4,50,52,Y,
R39MKPWH441TY8,3,20,22,Y,
RJH6Y9GFWTSJ5,4,44,49,Y,
R2DTTGG4LN8P55,5,30,31,Y,
R31FAT31RLICPK,2,15,25,Y,
R2OEUBFAKOJ1AT,5,134,138,Y,
RQ9P014E3SZ2V,5,22,26,Y,
R1GS6T9LAJZ1JJ,4,23,27,Y,
RYL3EI2JPF33W,5,33,36,Y,
R26M611MR53Y8G,4,18,24,Y,
R3BAL82M0GRBHR,1,40,43,Y,
RO3TCW2MLB0ED,4,41,44,Y,
R7U6Z3V8MUIQG,5,15,21,Y,
R1UL9JHZD8PZVU,5,20,23,Y,
RGSDYM4G940IM,3,26,27,Y,
R3EIBNKTZXD4GJ,3,24,25,Y,
R3ASBIGIAZTDJR,5,45,54,Y,
R2T3RSX15IF8U9,4,64,71,Y,
R1Y69OPKGPL49L,5,23,32,Y,
RM0020CZP6FL1,5,65,70,Y,
R3NOQL4BUJ041X,3,15,27,Y,
RQYJBACR3VWWJ,5,766,806,Y,
R2NUO5KCVWNYKA,5,20,25,Y,
R2324UCKNQF1U,5,91,102,Y,
R2I5FVKFK0LVZ6,5,790,806,Y,
R1SBV7449RUK1Z,5,39,45,Y,
R19ECQ3K3Z8CO3,5,27,30,Y,
R1LPHKZLC6BECE,5,332,337,Y,
R1LRXW9HN3MOG2,5,47,55,Y,
RP7IBZUQG89LR,5,25,34,Y,
R2FK3ORAYZI5M2,5,18,27,Y,
R6BXK49G829HS,5,69,81,Y,
RN0Y3W4D07FEH,4,28,32,Y,
RHO3AF57TUW3N,5,21,23,Y,
R2VXS3PVPSBXQ9,5,49,60,Y,
R32NG8RG7D19ME,5,105,112,Y,
R3PN0DW62Y40T,3,21,29,Y,
R1S0CUIMSGN38V,5,22,25,Y,
R26Y8YAR5AEQNV,4,21,25,Y,
RFJBQYR7WFMVY,1,21,27,Y,
R339QYMMFZLTQC,5,191,200,Y,
R2ASMO4ROCF6SU,2,38,40,Y,
R16MFKBUMWNJC6,4,43,47,Y,
R37HQYOQ55W2JS,4,41,42,Y,
R2HCG6Y1H1S4PW,3,28,41,Y,
R1D4ZU669F9JC4,4,59,68,Y,
R1KEUU9IPJ49IP,4,45,51,Y,
R2U2F1W83GL47A,3,23,23,Y,
R2QSCRPHR8HOL,5,15,20,Y,
R1LWQ3B7SHYB7U,3,45,52,Y,
R2XHKTPAEYCFPY,4,21,32,Y,
R3B4KHDEO0DXF6,5,59,69,Y,
R3M7G0XW438WQZ,4,47,54,Y,
R2XGD7OK96SZCT,2,28,40,Y,
RH29MHFXSU01E,5,27,28,Y,
R2TM0M946SQIV3,4,23,28,Y,
RCTXYKKM13YHJ,4,27,35,Y,
RMWIS13Y01YE4,1,22,28,Y,
R2ZO3S8ENZ5IFJ,3,23,33,Y,
R1WISDKOOQRUU5,4,22,30,Y,
R11DCD2SYIWN6Y,5,81,86,Y,
RWUZHGXKSRC8D,5,24,29,Y,
R2PM6N2VQGBWYZ,5,271,300,Y,
R35FQNQDB7NCBH,4,38,39,Y,
R2B0T5E7PA986V,5,93,103,Y,
R2UDNTTK815UF7,4,27,30,Y,
R24UGNZU0GBU5X,5,75,79,Y,
R103HKRFYE9LNI,4,33,39,Y,
R7Q0TRPBX4K52,2,63,78,Y,
R30DBZMF97PX3I,5,45,52,Y,
R1HZWZRDQ81F11,4,36,40,Y,
RB144BWI13VY3,5,102,102,Y,
R3GVF60N1BS1CF,1,21,23,Y,
R15LRIHUL64WOG,3,61,69,Y,
RBAH3QW1XAJBW,3,81,95,Y,
R1G82FG6JO29JG,4,19,26,Y,
R2WHR63KWELZR2,3,47,49,Y,
RJ4L5PSEVVB9V,4,107,118,Y,
R1NV699SGAZ86H,2,17,32,Y,
R3HNWOHPH767AR,4,44,58,Y,
RLEYI8RAGTMM9,4,61,68,Y,
R34TDA7QV9KMHZ,5,37,45,Y,
RGIFY5Z5MQZ7E,4,51,68,Y,
R1SITKNJ6T4WGI,4,77,90,Y,
R3RG313L2UBLX,4,20,21,Y,
RDHHR1YEYEHWB,4,26,31,Y,
R2NJZ3QE0V4A53,5,34,38,Y,
R1SS0AMUVC7QH,4,27,31,Y,
R1AMIVCXJGADZU,3,51,59,Y,
R3AZVYOCPPGIG6,4,153,157,Y,
R2HFL2T2XBWDSD,4,169,181,Y,
R2IPGCI1LH2MRR,5,50,61,Y,
R2X1EWKY18UF1M,4,50,52,Y,
R3HMSUFIU8UNIL,5,25,31,Y,
R313LC75YHRKSO,5,66,76,Y,
RWTMNR4N0FM1D,5,48,49,Y,
R3DN6OOD55NDXC,3,62,70,Y,
R1PM3T35C7QM66,3,48,58,Y,
RGO0NNJ2M96YL,3,56,62,Y,
RBZA525FIGRT,2,15,21,Y,
RIFBMESPYVE68,4,20,27,Y,
RN7PGXP7SJ2R1,5,38,38,Y,
R23KCAAEHY9795,4,19,25,Y,
RAW4AMMMWFY1,2,58,65,Y,
R2XU8C5Q33TM6,5,24,34,Y,
RE0DA9K7S1H8,1,745,937,Y,
R184X5T366P4AI,3,42,51,Y,
R1KOT27D8QN6U9,5,62,69,Y,
R17T52P6JIH4UB,4,26,30,Y,
ROBMAUGQK8YPF,5,42,43,Y,
R3QPWTIELF5M72,5,20,23,Y,
R2GTWZE5L9C8RZ,5,17,20,Y,
R30CGBJEAQ8WBT,5,17,20,Y,
R33W5YBL2C4GUV,5,35,41,Y,
R1DS162DDCG7H6,3,18,27,Y,
RJA0D6TSS4SYX,5,171,178,Y,
ROWUUIC0WG4MJ,4,175,187,Y,
R16DR7EU33B0WI,5,21,23,Y,
R2K85MNDD9ZHFE,4,18,23,Y,
R6LJ7USQPAVG5,3,68,71,Y,
R2NB99ZMCZHQ03,4,271,294,Y,
R3HLFJTHT96CTG,4,25,34,Y,
R1IKM8GPI6XM96,4,13,22,Y,
R3MQ860VKI6NIV,5,34,36,Y,
R2JKZCG3YR8VXZ,4,98,126,Y,
R3KD571G1FBADL,4,83,90,Y,
R308VPZGWAROTV,5,154,169,Y,
R1XCJKBMW5AGHX,4,21,23,Y,
R4UV34VLUU0ZC,4,32,41,Y,
R11V79EOFX1TN,5,84,87,Y,
R21M5LTGH9LYV9,5,533,553,Y,
R2ITXBDEDE941C,4,73,79,Y,
R1Q34KA0CY0FFW,5,78,80,Y,
R19BYIUI1ERDJC,4,29,38,Y,
R1QBURCQEUEYY7,2,16,23,Y,
R3SDG1MWBLPOYM,5,11,21,Y,
RB757M2FQ63RS,5,106,123,Y,
R2WJ5VAJ0BJFL3,4,26,31,Y,
R137QBFYTL7X2P,5,82,94,Y,
R2K11EMZSHZMBA,5,76,89,Y,
R2QASXB29WMDDA,3,364,383,Y,
RGFXK1QPVEM0Q,2,52,59,Y,
RK16WI2TXLTWE,5,26,35,Y,
R1DEZR3DLVFWBW,4,27,36,Y,
R1KDP72AP8E0GV,5,59,67,Y,
R1YNSND5LAI24E,5,93,111,Y,
R2ZEIG43FNTBY3,2,23,27,Y,
R2ONWN64A3H8HZ,1,17,21,Y,
RS6BAQ6UBV1HI,5,14,20,Y,
R3DBMPYTCMMG9F,5,66,75,Y,
R37K9HTKALCHAI,5,112,123,Y,
R3QQ8YCF1QZVZA,5,25,33,Y,
RYFEVF5WQZXXA,1,47,58,Y,
RIV9NVYAMD3EK,5,31,35,Y,
R2JG86OOYNYRRR,5,77,82,Y,
R3GNRFCJ147S0Y,3,18,23,Y,
R1YGETOLLV82ZD,5,175,189,Y,
R2PXISFHK6ODTN,4,409,437,Y,
RR66TXJYH5HUZ,3,24,24,Y,
R1O27LQISZQNBW,3,30,32,Y,
R193WWMJ9VXWZY,5,38,52,Y,
RTCJW3R2V37OH,2,21,26,Y,
R31BQZ4JTG81V0,5,210,240,Y,
R300VRU7IWNG4G,2,18,22,Y,
R2U95KTBX27TRX,4,35,37,Y,
R3KD16923UVIHA,5,26,30,Y,
RWYNZHQIOY505,4,35,40,Y,
RLZ4U3D99XDXG,3,19,22,Y,
R2KW75DLTQ7KZB,5,36,41,Y,
R285QQ2J93CH7X,5,102,108,Y,
R2YI64HYU0I8DW,4,57,66,Y,
R338LVK5F6IQ6Y,4,20,27,Y,
R1YW6Y5TI0RYLS,4,34,45,Y,
R17L11BRP76FQI,3,174,181,Y,
R3TLUV5MGW9HDN,5,69,89,Y,
RJ0IFWUW301M2,2,35,36,Y,
R1TGFS5CP09XQL,1,21,22,Y,
ROD9DFX10RXBZ,3,26,29,Y,
R2T90B392OZJLA,3,45,55,Y,
R1CBW4Y4LBQAIG,5,53,58,Y,
RZC721M0G7OAB,4,33,36,Y,
R3MLCX6DJ5UFNE,4,41,42,Y,
R2KO2G92KZ9KDI,5,126,136,Y,
R13LUS1ZN177BF,4,39,44,Y,
R10HWSTDEHHH0N,3,21,32,Y,
RWIN7ZCWWSN3E,5,251,254,Y,
R13QZ5Z3QRSF4B,4,37,38,Y,
R2NCY8MWMI2TW1,3,171,190,Y,
R390SNBNDPOTYD,5,24,25,Y,
R34M1JUSCKKOV4,4,21,22,Y,
R1NWEMA4MUD194,4,46,46,Y,
RPU25DXIYFHZ6,3,39,45,Y,
RMGAFFN0FSI7N,5,16,25,Y,
RCCUVWBL73XKT,5,150,168,Y,
R8SDJRSH4UEVV,4,374,399,Y,
R3UUTQAO7BKMYT,5,41,53,Y,
RHO6BQN9B8B49,4,35,46,Y,
R12TZ6074X16OY,4,35,39,Y,
R848GEXRAZJ65,5,34,49,Y,
R1ZMFYDQ8M3Z08,5,23,31,Y,
RWQDJ5XP7RAPB,5,216,225,Y,
R2X9JVIM48QJFZ,4,19,21,Y,
R2NBUVM985NFTP,3,33,37,Y,
R3DQSCW8AEGBND,4,87,93,Y,
R3VN12I1UT680X,3,44,56,Y,
RRWJ22T1A3NOO,2,69,92,Y,
R2URR0X8K87S79,2,83,86,Y,
R37L3OKUEJAGXD,5,171,175,Y,
R2JYJG2A9IQXJR,3,35,41,Y,
R2W9XVI03V22CO,3,30,32,Y,
R2JCRPRHUDKM46,5,28,36,Y,
R3G5G5HYIW6RKZ,5,392,401,Y,
R1PLJ4001ORMNX,5,114,132,Y,
RVIT78P0BVN37,5,58,65,Y,
R283V47LOT4AVU,3,53,67,Y,
RTKLDAUPUQS0A,4,58,63,Y,
R2UHX3MCT9BXUR,4,42,51,Y,
RY5JV171Y4X3M,5,16,20,Y,
R1YPUYP0PLDS2M,3,18,22,Y,
R3V1EXNF2MNSG6,5,34,49,Y,
R2T0LLLLA8FDES,5,24,33,Y,
R3TLENXMKO7D3W,2,17,23,Y,
R40KRXMBOR3Y7,2,30,43,Y,
RCXDZ2ALS4CSB,4,93,101,Y,
R18BW7F5Q61BIN,2,133,147,Y,
R1BDPO6ZTQZSIF,4,94,116,Y,
R1I943LCR9S4N1,5,21,31,Y,
R1Y2U7JDZXINHA,3,32,41,Y,
RLRDXEIYSOFOU,4,34,35,Y,
R3MXFVVD5VTLP8,4,19,22,Y,
R2PH29E7EQECTF,4,23,25,Y,
R1YJHE4YFMD5TV,5,17,22,Y,
RS2414NZ4L8EF,4,28,31,Y,
R38X88GZFEMDKF,4,67,76,Y,
R3P4LCRYJF31HO,5,332,349,Y,
R1SMXWHDZJ0AJF,4,90,101,Y,
R3OY8HEAM5QI8I,4,17,21,Y,
RK6HKIRL8KXBN,4,27,38,Y,
R3A02UJM3C57XA,2,16,21,Y,
R1YV9PSNC8598B,3,25,26,Y,
R35FC70RO2K1VV,5,24,26,Y,
RUTL1QHE4IDU,5,41,46,Y,
R1WND3GMZQOIAC,5,119,131,Y,
RQEMPLJ0QIZB1,3,34,37,Y,
R1ECJGNUAXRJTB,4,81,90,Y,
R1ND0K4NI1QAZO,5,30,32,Y,
R1SPKOSVCWVTKD,5,25,26,Y,
R2QUCMGLLNYN2M,2,37,38,Y,
REMNCTRA5B7C,4,105,109,Y,
R3G32NBYG0RJX8,5,37,38,Y,
ROU8AVTB5XO5I,5,28,32,Y,
R2L6QXN07FYVD2,4,384,390,Y,
RWG4PJOEI4H2K,2,54,60,Y,
RJBXINEUK1KP,3,18,27,Y,
R3VP2CYV19ZK27,5,79,86,Y,
R1TUZFYLTFU9V5,4,72,74,Y,
R36IAIHBLQWJ0T,4,41,43,Y,
R1DJLOEPM0CL7L,4,53,55,Y,
R1FHSAA7715L1P,4,252,303,Y,
R4K4ZTU4F3MS4,3,18,21,Y,
R1P87C14GUXAUZ,4,89,93,Y,
R23BB8V9127JTF,5,18,23,Y,
R3VJSL431I8H7F,5,128,136,Y,
RE01I48RWQK28,2,20,21,Y,
R28P21Q07PGB46,5,123,129,Y,
R97Q1O2KO9XAT,5,21,23,Y,
R1UISGVWM8ZLD8,5,22,25,Y,
R2SX7C4NN58F6A,4,18,22,Y,
R1YI8XMGZH6FAG,5,30,34,Y,
R19ML2DSIHN787,5,22,23,Y,
RQ8X68G8TET0A,4,26,26,Y,
R3JJRW8R0P30IU,3,108,127,Y,
RT5GP7MX076JI,4,284,292,Y,
R23I7R7T6WE0FB,5,34,35,Y,
R1QW5BEGPES4XG,1,69,71,Y,
R1T36KTG6O5GT7,5,26,30,Y,
R2UI4Y6E6TJ9OH,1,149,176,Y,
R3JK90V5D7IN1K,3,18,22,Y,
R1EE4YM96ZS75U,5,31,32,Y,
R9PE24JMPK5M3,5,35,41,Y,
R1BLB6B89ENTZ3,4,37,41,Y,
R3BKCRLFDNEBBB,4,161,161,Y,
RAG6F5SXSZI8I,4,37,38,Y,
R1VJC6LHJ4JVQM,3,228,242,Y,
R5QBKB4AFZDRU,4,602,608,Y,
RFFBMMET74TBB,5,27,30,Y,
R2W7EXQ1IVMI4D,4,46,54,Y,
R3BCZUUYFWXKM5,3,54,64,Y,
R19G60JWE86BRS,3,31,35,Y,
R36L3YS2VNQUAB,4,163,175,Y,
R1PSNB760HL99L,3,205,216,Y,
